faixa_etaria,participa_apostas,reserva_financeira,resgate_imediato,poupanca,tesouro,renda_fixa,renda_variavel,reserva_valor,nivel_conhecimento,objetivo_financeiro,decisao_financeira,jornada_financeira,conselho_financeiro,email
41-60,Não Participo Desse Tipo De Jogo,Não,Não possuo a reserva,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
26 - 40,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,Construir patrimônio,Busco equilibrar segurança e rentabilidade,nan,nan,nan
26 - 40,Não Participo Desse Tipo De Jogo,Não,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Sim,Intermediário,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
18 - 25,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Não,Não possuo a reserva,Sim,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Iniciante,Construir patrimônio,Busco equilibrar segurança e rentabilidade,nan,nan,nan
60+,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Sim,Não,Não,Sim,Sim,Não,Sim,Iniciante,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
26 - 40,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Não,Não,Não,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Intermediário,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
41-60,Não Participo Desse Tipo De Jogo,Sim,Sim,Não,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Intermediário,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
18 - 25,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Não,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Avançado,Construir patrimônio,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
41-60,Não Participo Desse Tipo De Jogo,Sim,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não,Intermediário,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
18 - 25,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Não,Não possuo a reserva,Não,Não,Não,Não,Sim,Intermediário,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
60+,Não Participo Desse Tipo De Jogo,Sim,Não,Sim,Não,Sim,Não,Não,Avançado,Viver de renda,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
60+,Não Participo Desse Tipo De Jogo,Não,Não possuo a reserva,Não,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
18 - 25,"Sim, Mas De Forma Eventual E Controlada",Não,Não,Sim,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Intermediário,Construir patrimônio,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
26 - 40,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Sim,Não,Não,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,Comprar uma casa,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
18 - 25,"Sim, Mas De Forma Eventual E Controlada",Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,Viver de renda,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
60+,Não Participo Desse Tipo De Jogo,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Sim,Sim,Intermediário,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Busco equilibrar segurança e rentabilidade,nan,nan,nan
18 - 25,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Sim,Sim,Sim,Sim,Sim,Sim,Não,Iniciante,Viver de renda,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
18 - 25,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Sim,Não,Não,Não,Sim,Sim,Sim,Iniciante,Construir patrimônio,Busco equilibrar segurança e rentabilidade,nan,nan,nan
26 - 40,Não Participo Desse Tipo De Jogo,Não,Não,Não,Sim,Não,Sim,Sim,Iniciante,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Busco equilibrar segurança e rentabilidade,nan,nan,nan
41-60,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,Viver de renda,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
60+,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Não,Não possuo a reserva,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
18 - 25,Não Participo Desse Tipo De Jogo,Sim,Não,Sim,Não,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,Comprar uma casa,Busco equilibrar segurança e rentabilidade,nan,nan,nan
60+,Não Participo Desse Tipo De Jogo,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Sim,Não,Não,Intermediário,Construir patrimônio,Busco equilibrar segurança e rentabilidade,nan,nan,nan
41-60,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Avançado,Comprar uma casa,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
41-60,"Sim, Mas De Forma Eventual E Controlada",Não,Não,Não,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Iniciante,Comprar uma casa,Busco equilibrar segurança e rentabilidade,nan,nan,nan
41-60,"Sim, Mas De Forma Eventual E Controlada",Não,Não,Não,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
18 - 25,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,Comprar uma casa,Busco equilibrar segurança e rentabilidade,nan,nan,nan
60+,Não Participo Desse Tipo De Jogo,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Avançado,Viver de renda,Busco equilibrar segurança e rentabilidade,nan,nan,nan
26 - 40,"Sim, Mas De Forma Eventual E Controlada",Não,Não possuo a reserva,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não,Intermediário,Construir patrimônio,Busco equilibrar segurança e rentabilidade,nan,nan,nan
26 - 40,"Sim, Mas De Forma Eventual E Controlada",Não,Não possuo a reserva,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Intermediário,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
18 - 25,Não Participo Desse Tipo De Jogo,Não,Não possuo a reserva,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
60+,Não Participo Desse Tipo De Jogo,Sim,Sim,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
26 - 40,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Não,Não possuo a reserva,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Sim,Intermediário,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
18 - 25,"Sim, Mas De Forma Eventual E Controlada",Sim,Não possuo a reserva,Sim,Não,Não,Sim,Sim,Intermediário,Construir patrimônio,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
26 - 40,"Sim, Mas De Forma Eventual E Controlada",Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Avançado,Viver de renda,Busco equilibrar segurança e rentabilidade,nan,nan,nan
26 - 40,Não Participo Desse Tipo De Jogo,Não,Não possuo a reserva,Sim,Sim,Sim,Não,Sim,Avançado,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
26 - 40,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não,Sim,Sim,Intermediário,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Busco equilibrar segurança e rentabilidade,nan,nan,nan
18 - 25,"Sim, Mas De Forma Eventual E Controlada",Não,Não possuo a reserva,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
26 - 40,Não Participo Desse Tipo De Jogo,Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Busco equilibrar segurança e rentabilidade,nan,nan,nan
41-60,Não Participo Desse Tipo De Jogo,Não,Não possuo a reserva,Não,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Avançado,Comprar uma casa,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
26 - 40,"Sim, Mas De Forma Eventual E Controlada",Não,Não,Não,Não,Não,Sim,Não,Intermediário,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
41-60,Não Participo Desse Tipo De Jogo,Sim,Sim,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,Viver de renda,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
18 - 25,Não Participo Desse Tipo De Jogo,Não,Não possuo a reserva,Não,Sim,Sim,Não,Sim,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
18 - 25,Não Participo Desse Tipo De Jogo,Sim,Não,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não,Iniciante,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Busco equilibrar segurança e rentabilidade,nan,nan,nan
18 - 25,Não Participo Desse Tipo De Jogo,Sim,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Avançado,Comprar uma casa,Busco equilibrar segurança e rentabilidade,nan,nan,nan
18 - 25,"Sim, Mas De Forma Eventual E Controlada",Não,Não possuo a reserva,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Intermediário,Viver de renda,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
60+,"Sim, Mas De Forma Eventual E Controlada",Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Sim,Não,Avançado,Construir patrimônio,Busco equilibrar segurança e rentabilidade,nan,nan,nan
60+,Não Participo Desse Tipo De Jogo,Não,Sim,Não,Não,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,Construir patrimônio,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
26 - 40,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Sim,Não,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Sim,Intermediário,Comprar uma casa,Busco equilibrar segurança e rentabilidade,nan,nan,nan
18 - 25,Não Participo Desse Tipo De Jogo,Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não,Sim,Avançado,Comprar uma casa,Busco equilibrar segurança e rentabilidade,nan,nan,nan
41-60,Não Participo Desse Tipo De Jogo,Sim,Não possuo a reserva,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Sim,Iniciante,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
18 - 25,Não Participo Desse Tipo De Jogo,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Sim,Iniciante,Comprar uma casa,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
60+,"Sim, Mas De Forma Eventual E Controlada",Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Sim,Não,Intermediário,Viver de renda,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
60+,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Não,Sim,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Busco equilibrar segurança e rentabilidade,nan,nan,nan
18 - 25,"Sim, Mas De Forma Eventual E Controlada",Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
60+,"Sim, Mas De Forma Eventual E Controlada",Não,Não possuo a reserva,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não,Intermediário,Viver de renda,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
41-60,"Sim, Mas De Forma Eventual E Controlada",Não,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Iniciante,Construir patrimônio,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
18 - 25,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Não,Sim,Não,Não,Sim,Sim,Sim,Avançado,Construir patrimônio,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
26 - 40,"Sim, Mas De Forma Eventual E Controlada",Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
26 - 40,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Não,Sim,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Avançado,Comprar uma casa,Busco equilibrar segurança e rentabilidade,nan,nan,nan
18 - 25,"Sim, Mas De Forma Eventual E Controlada",Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
60+,"Sim, Mas De Forma Eventual E Controlada",Sim,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
18 - 25,Não Participo Desse Tipo De Jogo,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
26 - 40,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Iniciante,Construir patrimônio,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
18 - 25,Não Participo Desse Tipo De Jogo,Sim,Não,Não,Não,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
41-60,Não Participo Desse Tipo De Jogo,Não,Não possuo a reserva,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,Construir patrimônio,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
26 - 40,Não Participo Desse Tipo De Jogo,Não,Sim,Sim,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Intermediário,Construir patrimônio,Busco equilibrar segurança e rentabilidade,nan,nan,nan
18 - 25,Não Participo Desse Tipo De Jogo,Sim,Não possuo a reserva,Não,Sim,Sim,Sim,Não,Avançado,Viver de renda,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
41-60,"Sim, Mas De Forma Eventual E Controlada",Não,Sim,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Iniciante,Viver de renda,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
41-60,"Sim, Com Frequência, E Às Vezes Sinto Dificuldade Em Controlar Os Gastos",Não,Sim,Sim,Não,Sim,Não,Sim,Avançado,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
60+,Não Participo Desse Tipo De Jogo,Sim,Não possuo a reserva,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Sim,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
18 - 25,"Sim, Mas De Forma Eventual E Controlada",Sim,Não,Sim,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,Construir patrimônio,"Prefiro decisões seguras, mesmo que o retorno seja menor",nan,nan,nan
60+,Não Participo Desse Tipo De Jogo,Não,Não possuo a reserva,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não,Não,Avançado,Comprar uma casa,Busco equilibrar segurança e rentabilidade,nan,nan,nan
60+,Não Participo Desse Tipo De Jogo,Não,Não possuo a reserva,Não,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Iniciante,Viver de renda,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,nan,nan,nan
