Faixa etária,Participa de apostas,Reserva financeira,Resgate imediato,Poupança,Tesouro Nacional,Renda fixa,Renda variável,Reserva de valor,Nível de conhecimento,Objetivo financeiro,Decisão financeira,Jornada financeira (opcional),Conselho financeiro (opcional),E-mail (opcional)
26 - 40,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,Construir patrimônio,Busco equilibrar segurança e rentabilidade,,,
26 - 40,Não participo desse tipo de jogo,Não,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Sim,Intermediário,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
18 - 25,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Não,Não possuo a reserva,Sim,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Iniciante,Construir patrimônio,Busco equilibrar segurança e rentabilidade,,,
60+,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Sim,Não,Não,Sim,Sim,Não,Sim,Iniciante,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
26 - 40,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Não,Não,Não,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Intermediário,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",,,
41-60,Não participo desse tipo de jogo,Sim,Sim,Não,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Intermediário,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
18 - 25,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Não,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Avançado,Construir patrimônio,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
41-60,Não participo desse tipo de jogo,Sim,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não,Intermediário,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
18 - 25,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Não,Não possuo a reserva,Não,Não,Não,Não,Sim,Intermediário,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
60+,Não participo desse tipo de jogo,Sim,Não,Sim,Não,Sim,Não,Não,Avançado,Viver de renda,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
60+,Não participo desse tipo de jogo,Não,Não possuo a reserva,Não,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
18 - 25,"Sim, mas de forma eventual e controlada",Não,Não,Sim,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Intermediário,Construir patrimônio,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
26 - 40,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Sim,Não,Não,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,Comprar uma casa,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
18 - 25,"Sim, mas de forma eventual e controlada",Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,Viver de renda,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
60+,Não participo desse tipo de jogo,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Sim,Sim,Intermediário,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Busco equilibrar segurança e rentabilidade,,,
18 - 25,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Sim,Sim,Sim,Sim,Sim,Sim,Não,Iniciante,Viver de renda,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
18 - 25,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Sim,Não,Não,Não,Sim,Sim,Sim,Iniciante,Construir patrimônio,Busco equilibrar segurança e rentabilidade,,,
26 - 40,Não participo desse tipo de jogo,Não,Não,Não,Sim,Não,Sim,Sim,Iniciante,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Busco equilibrar segurança e rentabilidade,,,
41-60,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,Viver de renda,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
60+,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Não,Não possuo a reserva,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
18 - 25,Não participo desse tipo de jogo,Sim,Não,Sim,Não,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,Comprar uma casa,Busco equilibrar segurança e rentabilidade,,,
60+,Não participo desse tipo de jogo,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Sim,Não,Não,Intermediário,Construir patrimônio,Busco equilibrar segurança e rentabilidade,,,
41-60,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Avançado,Comprar uma casa,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
41-60,"Sim, mas de forma eventual e controlada",Não,Não,Não,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Iniciante,Comprar uma casa,Busco equilibrar segurança e rentabilidade,,,
41-60,"Sim, mas de forma eventual e controlada",Não,Não,Não,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
18 - 25,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,Comprar uma casa,Busco equilibrar segurança e rentabilidade,,,
60+,Não participo desse tipo de jogo,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Avançado,Viver de renda,Busco equilibrar segurança e rentabilidade,,,
26 - 40,"Sim, mas de forma eventual e controlada",Não,Não possuo a reserva,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não,Intermediário,Construir patrimônio,Busco equilibrar segurança e rentabilidade,,,
26 - 40,"Sim, mas de forma eventual e controlada",Não,Não possuo a reserva,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Intermediário,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
18 - 25,Não participo desse tipo de jogo,Não,Não possuo a reserva,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",,,
60+,Não participo desse tipo de jogo,Sim,Sim,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",,,
26 - 40,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Não,Não possuo a reserva,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Sim,Intermediário,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",,,
18 - 25,"Sim, mas de forma eventual e controlada",Sim,Não possuo a reserva,Sim,Não,Não,Sim,Sim,Intermediário,Construir patrimônio,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
26 - 40,"Sim, mas de forma eventual e controlada",Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Avançado,Viver de renda,Busco equilibrar segurança e rentabilidade,,,
26 - 40,Não participo desse tipo de jogo,Não,Não possuo a reserva,Sim,Sim,Sim,Não,Sim,Avançado,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
26 - 40,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não,Sim,Sim,Intermediário,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Busco equilibrar segurança e rentabilidade,,,
18 - 25,"Sim, mas de forma eventual e controlada",Não,Não possuo a reserva,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
26 - 40,Não participo desse tipo de jogo,Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Busco equilibrar segurança e rentabilidade,,,
41-60,Não participo desse tipo de jogo,Não,Não possuo a reserva,Não,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Avançado,Comprar uma casa,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
26 - 40,"Sim, mas de forma eventual e controlada",Não,Não,Não,Não,Não,Sim,Não,Intermediário,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
41-60,Não participo desse tipo de jogo,Sim,Sim,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,Viver de renda,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
18 - 25,Não participo desse tipo de jogo,Não,Não possuo a reserva,Não,Sim,Sim,Não,Sim,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
18 - 25,Não participo desse tipo de jogo,Sim,Não,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não,Iniciante,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Busco equilibrar segurança e rentabilidade,,,
18 - 25,Não participo desse tipo de jogo,Sim,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Avançado,Comprar uma casa,Busco equilibrar segurança e rentabilidade,,,
18 - 25,"Sim, mas de forma eventual e controlada",Não,Não possuo a reserva,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Intermediário,Viver de renda,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
60+,"Sim, mas de forma eventual e controlada",Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Sim,Não,Avançado,Construir patrimônio,Busco equilibrar segurança e rentabilidade,,,
60+,Não participo desse tipo de jogo,Não,Sim,Não,Não,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,Construir patrimônio,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
26 - 40,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Sim,Não,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Sim,Intermediário,Comprar uma casa,Busco equilibrar segurança e rentabilidade,,,
18 - 25,Não participo desse tipo de jogo,Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não,Sim,Avançado,Comprar uma casa,Busco equilibrar segurança e rentabilidade,,,
41-60,Não participo desse tipo de jogo,Sim,Não possuo a reserva,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Sim,Iniciante,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
18 - 25,Não participo desse tipo de jogo,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Sim,Iniciante,Comprar uma casa,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
60+,"Sim, mas de forma eventual e controlada",Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Sim,Não,Intermediário,Viver de renda,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
60+,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Não,Sim,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Busco equilibrar segurança e rentabilidade,,,
18 - 25,"Sim, mas de forma eventual e controlada",Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
60+,"Sim, mas de forma eventual e controlada",Não,Não possuo a reserva,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não,Intermediário,Viver de renda,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
41-60,"Sim, mas de forma eventual e controlada",Não,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Iniciante,Construir patrimônio,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
18 - 25,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Não,Sim,Não,Não,Sim,Sim,Sim,Avançado,Construir patrimônio,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
26 - 40,"Sim, mas de forma eventual e controlada",Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
26 - 40,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Não,Sim,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Avançado,Comprar uma casa,Busco equilibrar segurança e rentabilidade,,,
18 - 25,"Sim, mas de forma eventual e controlada",Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",,,
60+,"Sim, mas de forma eventual e controlada",Sim,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",,,
18 - 25,Não participo desse tipo de jogo,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",,,
26 - 40,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Não,Não possuo a reserva,Não tenho conhecimento sobre esse tipo de investimento,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Iniciante,Construir patrimônio,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
18 - 25,Não participo desse tipo de jogo,Sim,Não,Não,Não,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)","Prefiro decisões seguras, mesmo que o retorno seja menor",,,
41-60,Não participo desse tipo de jogo,Não,Não possuo a reserva,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,Construir patrimônio,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
26 - 40,Não participo desse tipo de jogo,Não,Sim,Sim,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Intermediário,Construir patrimônio,Busco equilibrar segurança e rentabilidade,,,
18 - 25,Não participo desse tipo de jogo,Sim,Não possuo a reserva,Não,Sim,Sim,Sim,Não,Avançado,Viver de renda,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
41-60,"Sim, mas de forma eventual e controlada",Não,Sim,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Iniciante,Viver de renda,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
41-60,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Não,Sim,Sim,Não,Sim,Não,Sim,Avançado,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
60+,Não participo desse tipo de jogo,Sim,Não possuo a reserva,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Sim,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
18 - 25,"Sim, mas de forma eventual e controlada",Sim,Não,Sim,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Intermediário,Construir patrimônio,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
60+,Não participo desse tipo de jogo,Não,Não possuo a reserva,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não,Não,Avançado,Comprar uma casa,Busco equilibrar segurança e rentabilidade,,,
60+,Não participo desse tipo de jogo,Não,Não possuo a reserva,Não,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Iniciante,Viver de renda,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
26 - 40,Não participo desse tipo de jogo,Não,Não possuo a reserva,Sim,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Intermediário,Viver de renda,Busco equilibrar segurança e rentabilidade,,,
60+,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Não,Não possuo a reserva,Não,Não,Não,Não,Não,Avançado,Construir patrimônio,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
26 - 40,Não participo desse tipo de jogo,Sim,Sim,Sim,Sim,Não,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Iniciante,Comprar uma casa,"Prefiro decisões seguras, mesmo que o retorno seja menor",,,
41-60,Não participo desse tipo de jogo,Não,Não,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não,Sim,Intermediário,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
60+,Não participo desse tipo de jogo,Não,Não possuo a reserva,Sim,Sim,Não tenho conhecimento sobre esse tipo de investimento,Sim,Não tenho conhecimento sobre esse tipo de investimento,Avançado,Construir patrimônio,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
18 - 25,Não participo desse tipo de jogo,Sim,Não possuo a reserva,Não,Sim,Sim,Sim,Não,Avançado,Construir patrimônio,Estou disposto(a) a aprender e assumir novas estratégias para aumentar meus resultados,,,
60+,"Sim, com frequência, e às vezes sinto dificuldade em controlar os gastos",Sim,Não possuo a reserva,Não,Sim,Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Busco equilibrar segurança e rentabilidade,,,
26 - 40,"Sim, mas de forma eventual e controlada",Não,Sim,Não tenho conhecimento sobre esse tipo de investimento,Não tenho conhecimento sobre esse tipo de investimento,Não,Não,Sim,Avançado,"Juntar dinheiro para uma meta de curto prazo (como viagem, carro ou troca de celular)",Busco equilibrar segurança e rentabilidade,,,
